"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","","","","","","","","82.3","80.7","79.2","77.6","76.1","74.7","73.3","71.7","70.2","68.7","67.3","66","64.7","63.4","62.3","61","59.8","58.6","57.3","56","54.7","53.3","51.9","50.4","48.9","47.5","46","44.6","43.3","41.9","40.5","39.3","38.1","37.1","",
"Angola","AGO","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.8","53.8","53.8","53.8","53.8","53.7","53.7","53.4","53","52.4","51.5","50.5","49.4","48.2","46.9","45.4","43.8","42.1","40.6","39.1","37.7","36.4","35","33.8","32.7","31.7","30.8","29.9","29.2","28.5","",
"Albania","ALB","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","","24.1","22.4","20.6","19","17.5","16.2","15.3","14.6","14","13.4","12.9","12.6","12.3","12.2","12.2","12.1","12.1","12.2","12.1","12","11.8","11.5","11.1","10.7","10.1","9.6","8.8","8.1","7.3","6.6","6.1","5.8","5.8","5.9","5.9","5.9","6.1","6.2","6.4","6.5","",
"Andorra","AND","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","5.5","5.2","4.9","4.6","4.3","4.1","3.9","3.6","3.5","3.3","3.1","3","2.9","2.7","2.6","2.5","2.4","2.3","2.2","2","2","1.9","1.8","1.7","1.6","1.5","1.5","1.4","1.4","",
"Arab World","ARB","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4552792050969","30.72123575786","30.0148398029104","29.3829180519027","28.737688427123","28.1307874943883","27.5431367319584","27.0149200659225","26.4979860260715","25.9560769894559","25.4396421279966","24.9427950798489","24.422758026028","23.8830984056653","23.33316486944","22.7603980148689","22.1643230986168","21.5337145931907","20.9430635646676","20.3351282156092","19.7896582209904","19.2944160100438","18.8164306603984","18.4003882094552","18.0294306483523","17.6756833931214","17.3170502074217","17.0283948300568","16.7293049322987","",
"United Arab Emirates","ARE","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","18.2","17.1","15.9","14.4","13.3","12.3","11.4","10.6","10","9.5","9","8.6","8.3","7.9","7.6","7.4","7.1","6.8","6.6","6.4","6.2","6","5.9","5.7","5.6","5.5","5.3","5.2","5","4.9","4.8","4.6","4.5","4.4","4.4","4.3","4.3","4.2","4.2","4.1","4","",
"Argentina","ARG","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","24.9","24.7","24.4","24.1","23.8","23.4","22.9","22.3","21.4","20.2","18.8","17.4","16.3","15.6","16","16.8","17.1","16.8","16.2","15.5","15","14.7","14.6","14.5","14.1","13.5","12.6","11.7","11","10.9","11","11","10.7","10.3","9.7","9.2","8.7","8.4","8.1","7.8","7.6","7.5","7.4","7.3","7","6.6","6.4","6.4","6.4","",
"Armenia","ARM","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","27.5","26.8","26.2","25.7","25.1","24.7","24.4","24.1","24","23.8","23.6","23.8","23.1","22.7","22.3","21.8","21.3","20.7","20","19.4","18.6","17.7","16.9","16.1","15.3","14.6","13.8","13.2","12.5","11.9","11.4","10.8","10.3","9.7","9.2","8.8","8.3","7.9","7.5","7.2","6.8","6.5","",
"American Samoa","ASM","Mortality rate, neonatal (per 1,000 live births)","SH.DYN.NMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
